t1,t2,t3,t4,t5,t6,nearest metro station distance(in km),type of road,nearest police chowki,average dist from police chowki,number of police chowki,population density,rape,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,sum,crm
0,1,0,0,0,0,2.4,district,1.163,8,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.8,district road,0.06,13,5,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,2,district road,0.055,10,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,3,district road,0.044,9,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.5,major district road,1.2,10,3,116000,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,major district road,0.45,9,5,3656539,165,404,109,23,61,208,51,0,155.3409
0,1,0,0,0,0,26.5,major district road,4.8,15,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.55,major district road,1.1,9,6,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,5,major district road,8.8,5,4,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,3.2,major district road,6.5,6,4,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.152,major district road,0.45,6,6,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.75,major district road,1.8,10,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.16,major district road,6.7,10,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,0.455,major district road,0.8,9,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.8,major district road,1.1,4,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1,major district road,2.7,13,4,116000,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0.935,major district road,1.7,5,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,1,major district road,0.6,12,4,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1,major district road,1.3,8,4,2731929,280,595,150,39,0,406,665,0,372.2915
0,1,0,0,0,0,2,major district road,0.5,14,5,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.28,major district road,0.4,3,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1,major district road,0.2,6,5,2543243,251,484,137,64,52,223,63,0,193.7796
0,1,0,0,0,0,1,major district road,1.2,15,4,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,8.1,major district road,10.5,3,3,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.278,major district road,0.8,4,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,1.2,major district road,5.5,4,6,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,2,major district road,0.9,12,2,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,0.044,major district road,0.3,13,3,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,3.2,major district road,0.1,12,2,582320,91,212,54,9,26,123,37,0,84.7858
0,1,0,0,0,0,0.6,major district road,0.7,4,6,2292958,234,494,86,57,99,248,68,0,195.9794
0,1,0,0,0,0,2.8,major district road,1.1,12,5,2292958,234,494,86,57,99,248,68,0,195.9794
0,0,1,0,0,0,1.2,major district road,2.5,4,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,5.1,district road,17.4,7,5,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,5.7,major district road,2.7,10,4,2292958,266,469,85,34,74,274,123,0,201.5655
0,0,1,0,0,0,0.27,major district road,2.6,7,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2.4,major district road,0.393,5,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,8.2,expressway,4.6,14,6,2543243,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,13,major district road,13.3,10,2,1674714,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0.5,major district road,0.65,7,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,90.6,expressway,20.1,6,5,1674714,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,6.1,expressway,4.8,3,5,1674714,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0.141,major district road,45,11,4,2241624,237,492,171,46,47,224,50,0,187.13014
0,0,1,0,0,0,0.157,flyover,4.2,11,5,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,9.2,major district road,18.2,5,3,2241624,237,492,171,46,47,224,50,0,187.13014
0,0,1,0,0,0,1.2,major district road,0.7,7,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.7,major district road,1.5,4,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,3.5,major district road,1.1,15,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.6,major district road,2.5,15,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,3.2,major district road,14.8,13,6,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,1.1,major district road,4,12,3,3656539,165,404,109,23,61,208,51,0,151.68582
0,0,1,0,0,0,2,district road,2.5,5,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.3,district road,2,13,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.202,district road,0.5,7,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.472,district road,0.792,3,2,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.047,district road,0.23,9,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.2,district road,1.4,5,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2.1,Ring road,14.2,7,3,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2.6,major district road,1.7,8,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.55,district road,0.4,5,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1,major district road,1.6,11,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.786,major district road,40,5,6,2731929,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1.6,major district road,1.6,13,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,197,national highway,600,8,5,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,600,national highway,600,5,5,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,600,national highway,600,10,4,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,600,national highway,600,10,5,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,600,national highway,600,6,6,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,7.9,major district road,6.9,9,4,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.55,flyover,2.4,14,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.593,district road,5.9,4,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.05,flyover,1.2,3,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.9,major district road,2.9,6,6,3656539,165,404,109,23,61,208,51,0,151.68582
0,0,1,0,0,0,15,major district road,10.8,4,3,887978,60,180,42,12,16,109,18,0,64.60554
0,0,1,0,0,0,1.4,district road,2.5,11,2,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,2.3,flyover,7.2,7,5,3656539,165,404,109,23,61,208,51,0,151.68582
0,0,1,0,0,0,3.6,flyover,0.9,5,2,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,3.5,flyover,2.8,11,6,1709346,230,446,171,36,91,143,114,0,187.24302
0,0,1,0,0,0,1.9,flyover,24.8,4,5,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,0.26,flyover,4,10,3,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,0.056,flyover,0.85,10,2,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,5.7,district road,5.6,14,2,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,1.9,district road,5.7,8,2,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,1,flyover,5.6,15,3,142004,20,56,25,1,14,15,18,0,23.01258
0,0,1,0,0,0,2,flyover,0.1,8,5,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.1,flyover,2.9,3,2,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,1,flyover,3,10,4,582320,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,major district road,4.8,9,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2,major district road,1.8,14,3,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.294,major district road,1.3,9,4,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,2.2,flyover,2.6,3,6,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.568,major district road,2.9,15,2,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,3.2,flyover,5.2,15,3,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,1.3,district,5.2,15,5,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.75,district,0.3,13,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.2,district,0.7,8,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.1,district,1.5,4,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.3,district,2.2,12,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.7,district,1.5,6,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.3,major district road,5.7,12,3,142004,20,56,25,1,14,15,18,0,23.01258
0,0,1,0,0,0,1.5,major district road,1.6,10,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.35,district,2.5,14,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.623,major district road,1.1,7,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2.5,major district road,0.7,15,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2,major district road,0.6,10,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.134,major district road,0.7,11,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2,district road,0.3,11,2,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,1,district road,0.3,12,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.35,district road,1.7,15,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2.3,major district road,0.6,10,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.05,district road,0.5,3,5,3656539,165,404,109,23,61,208,51,0,151.68582
0,0,1,0,0,0,4.6,major district road,31.1,12,3,1709346,230,446,171,36,91,143,114,0,187.24302
0,0,1,0,0,0,1.3,district road,5.9,4,2,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,3.5,district road,2,4,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,1.5,district road,2,12,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,11,major distict road,0.4,6,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.6,major district road,0.5,6,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.1,district road,0.85,12,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.5,major district road,0.4,13,6,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.95,district road,0.3,11,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,4,district road,523.8,12,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.55,district road,4.1,4,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1,district road,0.7,12,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,12,district road,2.2,3,2,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,3,district road,0.4,9,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,11,district road,0.4,8,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,10,district road,0.9,14,6,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,9,district road,1.1,7,6,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,6.1,major district road,0.156,15,5,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.55,major district road,0.2,13,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.66,district road,0.071,14,3,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,1.1,district,1.6,15,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,5.5,major district road,1.1,8,6,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,0.1,major district road,0.6,13,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1,major district road,3,14,6,116000,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,4.5,major district road,4.6,4,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.2,district road,7,6,2,887978,60,180,42,12,16,109,18,0,64.60554
0,0,1,0,0,0,2.9,major district road,3,9,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1,district,0.75,5,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.45,district,1.2,8,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,9.9,district,0.24,12,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2.4,district,1.163,13,5,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.8,district road,0.06,6,5,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,2,district road,0.055,6,4,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,3,district road,0.044,8,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.5,major district road,1.2,12,4,116000,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,major district road,0.45,11,5,3656539,165,404,109,23,61,208,51,0,151.68582
0,0,1,0,0,0,26.5,major district road,4.8,3,2,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.55,major district road,1.1,4,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,5,major district road,8.8,10,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,3.2,major district road,6.5,10,2,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.152,major district road,0.45,11,4,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.75,major district road,1.8,3,4,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.16,major district road,6.7,12,4,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,0.455,major district road,0.8,8,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.8,major district road,1.1,8,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1,major district road,2.7,5,6,116000,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0.935,major district road,1.7,4,5,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,1,major district road,0.6,7,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1,major district road,1.3,12,3,2731929,280,595,150,39,0,406,665,0,363.5317
0,0,1,0,0,0,2,major district road,0.5,13,2,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.28,major district road,0.4,14,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1,major district road,0.2,8,5,2543243,251,484,137,64,52,223,63,0,189.22008
0,0,1,0,0,0,1,major district road,1.2,11,2,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,8.1,major district road,10.5,12,4,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.278,major district road,0.8,4,5,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,1.2,major district road,5.5,15,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,2,major district road,0.9,11,3,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,1,0,0,0,0.044,major district road,0.3,8,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,3.2,major district road,0.1,3,3,582320,91,212,54,9,26,123,37,0,82.79084
0,0,1,0,0,0,0.6,major district road,0.7,15,6,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,0,1,0,0,2.8,major district road,1.1,12,4,2292958,234,494,86,57,99,248,68,0,191.36812
0,0,0,1,0,0,1.2,major district road,2.5,7,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,5.1,district road,17.4,5,3,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,5.7,major district road,2.7,6,2,2292958,266,469,85,34,74,274,123,0,500.271
0,0,0,1,0,0,0.27,major district road,2.6,14,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,2.4,major district road,0.393,14,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,8.2,expressway,4.6,12,5,2543243,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,13,major district road,13.3,4,2,1674714,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0.5,major district road,0.65,4,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,90.6,expressway,20.1,3,6,1674714,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,6.1,expressway,4.8,3,5,1674714,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0.141,major district road,45,14,4,2241624,237,492,171,46,47,224,50,0,464.44348
0,0,0,1,0,0,0.157,flyover,4.2,12,4,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,9.2,major district road,18.2,8,5,2241624,237,492,171,46,47,224,50,0,464.44348
0,0,0,1,0,0,1.2,major district road,0.7,10,2,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.7,major district road,1.5,5,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,3.5,major district road,1.1,14,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.6,major district road,2.5,8,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,3.2,major district road,14.8,3,4,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,1.1,major district road,4,6,3,3656539,165,404,109,23,61,208,51,0,376.47324
0,0,0,1,0,0,2,district road,2.5,5,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.3,district road,2,15,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.202,district road,0.5,12,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.472,district road,0.792,13,5,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,0.047,district road,0.23,10,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.2,district road,1.4,5,2,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,2.1,Ring road,14.2,5,5,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2.6,major district road,1.7,13,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.55,district road,0.4,14,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1,major district road,1.6,15,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.786,major district road,40,10,3,2731929,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1.6,major district road,1.6,5,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,197,national highway,600,9,3,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,600,national highway,600,15,4,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,600,national highway,600,8,6,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,600,national highway,600,12,4,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,600,national highway,600,4,2,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,7.9,major district road,6.9,11,2,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,0.55,flyover,2.4,4,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.593,district road,5.9,10,2,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.05,flyover,1.2,3,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.9,major district road,2.9,7,5,3656539,165,404,109,23,61,208,51,0,376.47324
0,0,0,1,0,0,15,major district road,10.8,11,3,887978,60,180,42,12,16,109,18,0,160.34628
0,0,0,1,0,0,1.4,district road,2.5,10,2,2543243,251,484,137,64,52,223,63,0,469.63056
0,0,0,1,0,0,2.3,flyover,7.2,5,5,3656539,165,404,109,23,61,208,51,0,376.47324
0,0,0,1,0,0,3.6,flyover,0.9,13,4,2543243,251,484,137,64,52,223,63,0,469.63056
0,0,0,1,0,0,3.5,flyover,2.8,8,5,1709346,230,446,171,36,91,143,114,0,464.72364
0,0,0,1,0,0,1.9,flyover,24.8,12,4,2543243,251,484,137,64,52,223,63,0,469.63056
0,0,0,1,0,0,0.26,flyover,4,3,5,2543243,251,484,137,64,52,223,63,0,469.63056
0,0,0,1,0,0,0.056,flyover,0.85,3,4,2543243,251,484,137,64,52,223,63,0,469.63056
0,0,0,1,0,0,5.7,district road,5.6,9,2,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,1.9,district road,5.7,7,2,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,1,flyover,5.6,13,2,142004,20,56,25,1,14,15,18,0,57.11556
0,0,0,1,0,0,2,flyover,0.1,12,5,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,0.1,flyover,2.9,13,2,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,1,flyover,3,3,6,582320,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,major district road,4.8,7,4,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,2,major district road,1.8,4,5,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,0.294,major district road,1.3,15,3,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,2.2,flyover,2.6,5,6,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,0.568,major district road,2.9,7,6,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,3.2,flyover,5.2,14,6,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,1.3,district,5.2,8,3,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,0.75,district,0.3,12,2,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.2,district,0.7,15,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.1,district,1.5,9,4,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.3,district,2.2,8,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.7,district,1.5,13,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.3,major district road,5.7,14,3,142004,20,56,25,1,14,15,18,0,57.11556
0,0,0,1,0,0,1.5,major district road,1.6,14,4,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.35,district,2.5,6,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.623,major district road,1.1,10,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,2.5,major district road,0.7,7,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,2,major district road,0.6,4,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.134,major district road,0.7,6,2,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,2,district road,0.3,3,3,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,1,district road,0.3,11,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.35,district road,1.7,9,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,2.3,major district road,0.6,15,5,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,0.05,district road,0.5,6,3,3656539,165,404,109,23,61,208,51,0,376.47324
0,0,0,1,0,0,4.6,major district road,31.1,15,3,1709346,230,446,171,36,91,143,114,0,464.72364
0,0,0,1,0,0,1.3,district road,5.9,15,2,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,3.5,district road,2,6,2,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,1.5,district road,2,5,4,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,11,major distict road,0.4,10,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.6,major district road,0.5,10,3,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.1,district road,0.85,6,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1.5,major district road,0.4,7,6,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,0.95,district road,0.3,15,4,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,4,district road,523.8,9,4,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.55,district road,4.1,14,4,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,1,district road,0.7,8,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,12,district road,2.2,5,6,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,3,district road,0.4,3,3,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,11,district road,0.4,3,2,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,10,district road,0.9,14,5,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,9,district road,1.1,9,3,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,6.1,major district road,0.156,4,5,2292958,234,494,86,57,99,248,68,0,474.96184
0,0,0,1,0,0,0.55,major district road,0.2,11,6,582320,91,212,54,9,26,123,37,0,205.48088
0,0,0,1,0,0,0.66,district road,0.071,9,3,2731929,280,595,150,39,0,406,665,0,902.2594
0,0,0,1,0,0,1.1,district,1.6,12,4,582320,91,212,54,9,26,123,37,0,205.48088
